FUNCTION;THREADS;ITEMS;OPS;COMMITS;ABORTS;TIME (s);PROB;;;FUNCTION;THREADS;ITEMS;OPS;COMMITS;ABORTS;TIME (s);PROB;;;FUNCTION;THREADS;ITEMS;OPS;COMMITS;ABORTS;TIME (s);PROB
SEQUENTIAL;2;20;5;4000;268;0.087788;0.4;;;MIXED;2;20;5;4000;595;0.089503;0.4;;;RANDOM;2;20;5;4000;246;0.086632;0.4
SEQUENTIAL;2;20;5;4000;75;0.093383;0.4;;;MIXED;2;20;5;4000;566;0.087035;0.4;;;RANDOM;2;20;5;4000;48;0.086093;0.4
SEQUENTIAL;2;20;5;4000;27;0.082698;0.4;;;MIXED;2;20;5;4000;327;0.079205;0.4;;;RANDOM;2;20;5;4000;192;0.093097;0.4
SEQUENTIAL;2;20;5;4000;55;0.087038;0.4;;;MIXED;2;20;5;4000;417;0.081127;0.4;;;RANDOM;2;20;5;4000;185;0.088632;0.4
SEQUENTIAL;2;20;5;4000;67;0.084906;0.4;;;MIXED;2;20;5;4000;353;0.081793;0.4;;;RANDOM;2;20;5;4000;32;0.082072;0.4
SEQUENTIAL;2;20;5;4000;35;0.083601;0.4;;;MIXED;2;20;5;4000;646;0.086251;0.4;;;RANDOM;2;20;5;4000;236;0.090175;0.4
SEQUENTIAL;2;20;5;4000;141;0.081006;0.2;;;MIXED;2;20;5;4000;601;0.086510;0.2;;;RANDOM;2;20;5;4000;369;0.087046;0.2
SEQUENTIAL;2;20;5;4000;343;0.085383;0.2;;;MIXED;2;20;5;4000;693;0.084482;0.2;;;RANDOM;2;20;5;4000;178;0.087296;0.2
SEQUENTIAL;2;20;5;4000;86;0.085178;0.2;;;MIXED;2;20;5;4000;569;0.086844;0.2;;;RANDOM;2;20;5;4000;269;0.087846;0.2
SEQUENTIAL;2;20;5;4000;35;0.082686;0.2;;;MIXED;2;20;5;4000;712;0.083875;0.2;;;RANDOM;2;20;5;4000;388;0.085248;0.2
SEQUENTIAL;2;20;5;4000;187;0.089785;0.2;;;MIXED;2;20;5;4000;629;0.088763;0.2;;;RANDOM;2;20;5;4000;664;0.090735;0.2
SEQUENTIAL;2;20;5;4000;5;0.082570;0.2;;;MIXED;2;20;5;4000;47;0.086137;0.2;;;RANDOM;2;20;5;4000;86;0.085464;0.2
SEQUENTIAL;2;20;5;4000;77;0.077289;0.2;;;MIXED;2;20;5;4000;284;0.087993;0.2;;;RANDOM;2;20;5;4000;42;0.084439;0.2
SEQUENTIAL;2;20;5;4000;149;0.084662;0.2;;;MIXED;2;20;5;4000;291;0.087410;0.2;;;RANDOM;2;20;5;4000;391;0.093212;0.2
SEQUENTIAL;2;20;5;4000;41;0.084571;0.2;;;MIXED;2;20;5;4000;537;0.095182;0.2;;;RANDOM;2;20;5;4000;99;0.085477;0.2
SEQUENTIAL;2;20;5;4000;88;0.087300;0.2;;;MIXED;2;20;5;4000;373;0.086215;0.2;;;RANDOM;2;20;5;4000;150;0.086269;0.2
SEQUENTIAL;2;20;5;4000;310;0.092043;0;;;MIXED;2;20;5;4000;161;0.078070;0;;;RANDOM;2;20;5;4000;355;0.089482;0
SEQUENTIAL;2;20;5;4000;51;0.084186;0;;;MIXED;2;20;5;4000;3018;0.089872;0;;;RANDOM;2;20;5;4000;86;0.087698;0
